Menu,Calories,Fat_Calories,Total_Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein
Caramel Mocha Chip Shake - Small,600,100,27,45,240,79,65,12
Caramel Mocha Chip Shake - Medium,830,170,39,55,310,106,86,16
Caramel Mocha Chip Shake - Large,1100,230,52,75,410,140,113,20
Cinnamon Roll Centers Blizzard - Mini,360,300,13,45,150,53,43,8
Cinnamon Roll Centers Blizzard - Small,620,240,22,85,270,93,75,13
Cinnamon Roll Centers Blizzard - Medium,890,350,32,120,390,132,106,18
Cinnamon Roll Centers Blizzard - Large,1170,470,43,160,520,175,139,22
Frosted Sugar Cookie Blizzard - Mini,390,110,16,35,160,54,42,8
Frosted Sugar Cookie Blizzard - Small,700,200,30,55,290,95,74,13
Frosted Sugar Cookie Blizzard - Medium,960,290,42,75,400,129,100,17
Frosted Sugar Cookie Blizzard - Large,1240,390,55,95,520,167,129,22
Heath Caramel Brownie Cupfection,760,150,29,65,390,117,90,11
Popcorn Shrimp Basket,700,270,31,105,2710,88,14,18
Pumpkin Pie Blizzard - Mini,360,380,14,25,190,52,41,7
Pumpkin Pie Blizzard - Small,560,500,20,40,330,86,68,11
Pumpkin Pie Blizzard - Medium,720,260,25,50,440,110,85,14
Pumpkin Pie Blizzard - Large,940,270,32,70,570,145,112,19
Bacon Two Cheese Deluxe Burger - Double,720,420,47,130,1890,39,9,37
Bacon Two Cheese Deluxe Burger - Triple,920,560,63,180,2300,40,9,49
FlameThrower Burger - Double,720,440,49,125,1430,37,7,34
FlameThrower Burger - Triple,910,580,65,170,1820,38,7,46
Hamburger,320,120,13,35,870,36,7,15
Hamburger - Double,460,220,25,70,1030,36,7,24
Hamburger - Triple,610,330,37,110,1190,36,7,33
Loaded A.1. Burger - Double,820,460,51,130,2080,52,13,38
Loaded A.1. Burger - Triple,1020,600,67,180,2500,53,14,49
Original Cheeseburger - Single,370,160,18,50,1120,37,8,17
Original Cheeseburger - Double,570,300,34,100,1530,38,8,29
Original Cheeseburger -Triple,760,450,50,150,1940,39,9,40
Two Cheese Deluxe Burger - Double,620,350,39,105,1510,39,9,29
Two Cheese Deluxe Burger - Triple,820,500,55,155,1930,40,9,41
Bacon Cheese Dog,420,240,26,60,1140,27,3,19
Cheese Dog,390,220,24,50,1000,27,3,16
Chili Cheese Dog,420,240,26,55,1070,28,4,18
Chili Cheese Dogs (2),850,470,53,110,2140,56,7,36
Chili Dog,360,190,22,40,970,27,4,14
Hot Dog,330,170,19,35,820,25,3,12
Relish Dog,350,180,20,35,1060,31,8,13
Applesauce,45,0,0,0,0,11,7,0
Banana,110,5,0,0,0,27,14,1
Chicken Strips - 2 pc,280,120,13,30,640,28,1,13
"Fries, Kids'",170,70,8,0,370,23,0,3
Hamburger,320,120,13,35,870,36,7,15
Hot Dog,330,170,19,35,820,25,3,12
Milk,110,25,2.5,10,130,12,12,8
Cheese Curds - Regular,500,300,34,85,990,26,1,24
Cheese Curds - Large,1000,600,67,165,1960,52,3,49
Doritos® Nacho Cheese Tortilla Chips,240,130,14,0,360,28,0,3
"Fries, Large",450,190,21,0,950,59,0,8
"Fries, Regular",280,110,13,0,590,36,0,5
Lay’s® BBQ Potato Chips,230,140,15,0,230,23,3,3
Lay’s® Potato Chips - Original,240,140,16,0,250,23,1,3
"Onion Rings, Large",450,180,20,0,1050,60,4,7
"Onion Rings, Regular",290,120,13,0,680,39,3,5
Oven Baked Lay’s® Original Potato Crisps,130,20,2,0,150,26,2,2
Soft Pretzel Sticks with Zesty Queso,330,80,9,5,2060,52,7,9
BBQ Dipping Sauce Cup,90,0,0,0,430,21,16,1
Country Gravy Dipping Sauce,70,40,4.5,0,360,6,1,0
Honey Mustard Dipping Sauce Cup,240,180,20,15,450,15,14,1
House Made Hidden Valley Ranch Dipping Sauce Cup,220,200,22,20,370,3,2,1
Kraft Fat Free Italian Dressing,25,2,0.3,0,380,4,3,0.5
Kraft Honey Mustard Dressing,130,80,9,10,330,12,0,0.3
Marzetti Dijon Honey Mustard,180,150,16,10,230,7,7,0
Marzetti Light Italian Dressing,15,10,1,0,730,2,2,0
Wild Buffalo Dipping Sauce Cup,90,90,10,0,1000,1,0,0
Zesty Queso Dipping Sauce,110,90,10,10,570,3,1,2
BBQ Sandwich,280,60,7,25,750,39,12,14
